company_id,period_start,period_end,fiscal_year,fiscal_period,filing_form,filed_date,revenue,operating_income,net_income,rd_expense,income_tax,assets,liabilities,equity,cash,inventory,current_assets,current_liabilities,long_term_debt,operating_cash_flow,investing_cash_flow,financing_cash_flow,capital_expenditure,dividends_paid,ticker,company_name,sector,country,industry,exchange,operating_margin,net_profit_margin
1,2007-07-01,2008-06-30,2010,FY,10-K,,,22271000000.0,17681000000.0,8164000000.0,6133000000.0,,,,10339000000.0,,,,,21612000000.0,-4587000000.0,-12934000000.0,3182000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2008-07-01,2009-06-30,2011,FY,10-K,,,20363000000.0,14569000000.0,9010000000.0,5252000000.0,,,,6076000000.0,,,,,19037000000.0,-15770000000.0,-7463000000.0,3119000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2009-07-01,2010-06-30,2012,FY,10-K,,,24098000000.0,18760000000.0,8714000000.0,6253000000.0,,,46175000000.0,,,,,,24073000000.0,-11314000000.0,-13291000000.0,1977000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2011-07-01,2012-06-30,2014,FY,10-K,,,21763000000.0,16978000000.0,9811000000.0,5289000000.0,,,66363000000.0,,,,,,,,,2305000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2013-07-01,2014-06-30,2016,FY,10-K,,,27759000000.0,22074000000.0,11381000000.0,5746000000.0,,,,8669000000.0,,,,,,,,5485000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2014-07-01,2015-06-30,2017,FY,10-K,,,18161000000.0,12193000000.0,12046000000.0,6314000000.0,,,,5595000000.0,,,,,,,,5944000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,,
1,2015-07-01,2016-06-30,2018,FY,10-K,,91154000000.0,26078000000.0,20539000000.0,11988000000.0,5100000000.0,,,,6510000000.0,,,,,33325000000.0,-23950000000.0,-8393000000.0,8343000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.28608728086534874,0.22532198257893235
1,2016-07-01,2017-06-30,2019,FY,10-K,,96571000000.0,29025000000.0,25489000000.0,13037000000.0,4412000000.0,,,87711000000.0,7663000000.0,,,,,39507000000.0,-46781000000.0,8408000000.0,8129000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.3005560675565128,0.26394052044609667
1,2017-07-01,2018-06-30,2020,FY,10-K,,110360000000.0,35058000000.0,16571000000.0,14726000000.0,19903000000.0,,,82718000000.0,,,,,,43884000000.0,-6061000000.0,-33590000000.0,11632000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.3176694454512505,0.1501540413193186
1,2018-07-01,2019-06-30,2021,FY,10-K,,125843000000.0,42959000000.0,39240000000.0,16876000000.0,4448000000.0,,,102330000000.0,,,,,,52185000000.0,-15773000000.0,-36887000000.0,13925000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.3413698020549415,0.3118171054409065
1,2019-07-01,2020-06-30,2022,FY,10-K,,143015000000.0,52959000000.0,44281000000.0,19269000000.0,8755000000.0,,,118304000000.0,,,,,,60675000000.0,-12223000000.0,-46031000000.0,15441000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.37030381428521486,0.3096248645247002
1,2020-07-01,2021-06-30,2023,FY,10-K,,168088000000.0,69916000000.0,61271000000.0,20716000000.0,9831000000.0,,,141988000000.0,,,,,,76740000000.0,-27577000000.0,-48486000000.0,20622000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.415948788729713,0.36451739564989766
1,2022-07-01,2023-06-30,2025,FY,10-K,,211915000000.0,88523000000.0,72361000000.0,27195000000.0,16950000000.0,,,206223000000.0,,,,,,87582000000.0,-22680000000.0,-43935000000.0,28107000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.417728806361041,0.3414623787839464
1,2023-07-01,2024-06-30,2025,FY,10-K,,245122000000.0,109433000000.0,88136000000.0,29510000000.0,19651000000.0,512163000000.0,243686000000.0,268477000000.0,18315000000.0,1246000000.0,159734000000.0,125286000000.0,42688000000.0,118548000000.0,-96970000000.0,-37757000000.0,44477000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.44644299573273716,0.35955972944084985
1,2024-07-01,2025-06-30,2025,FY,10-K,,281724000000.0,128528000000.0,101832000000.0,32488000000.0,21795000000.0,,,,,,,,,136162000000.0,-72599000000.0,-51699000000.0,64551000000.0,,MSFT,Microsoft Corporation,Technology,USA,Software,NASDAQ,0.4562195624085985,0.3614601524896707
2,2007-09-30,2008-09-27,2010,FY,10-K,,,8327000000.0,6119000000.0,1109000000.0,2828000000.0,,,22297000000.0,11875000000.0,,,,,9596000000.0,-8189000000.0,1116000000.0,,,AAPL,Apple Inc.,Technology,USA,Consumer Electronics,NASDAQ,,
2,2008-09-28,2009-09-26,2011,FY,10-K,,,11740000000.0,8235000000.0,1333000000.0,3831000000.0,47501000000.0,,,,,,,,10159000000.0,-17434000000.0,663000000.0,,,AAPL,Apple Inc.,Technology,USA,Consumer Electronics,NASDAQ,,
2,2010-09-26,2011-09-24,2013,FY,10-K,,,33790000000.0,25922000000.0,2429000000.0,8283000000.0,,,,,,,,,37529000000.0,-40419000000.0,1444000000.0,,,AAPL,Apple Inc.,Technology,USA,Consumer Electronics,NASDAQ,,
